time,agg_demand,agg_supply,historical_prices,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions
2220,14292.483333333332,26113.416666666664,0.035,25,10,25,0
2221,11470.899999999998,26334.233333333337,0.004,24,9,24,0
2222,17390.36666666667,25213.166666666668,0.046,24,10,24,0
2223,15300.366666666667,21800.666666666668,0.037,26,11,26,0
2224,18174.649999999998,15330.5,0.01,29,14,29,0
2225,15036.266666666665,7862.133333333333,0.034,23,11,23,0
2226,16389.399999999998,1125.8333333333333,0,18,0,9,9
2227,13403.9,0,0,24,0,12,12
2228,15596.849999999999,2.6666666666666665,0,26,0,13,13
2229,13957.68333333333,0.016666666666666663,0,26,0,13,13
2230,12815.099999999999,0,0,26,0,13,13
2231,9756.583333333328,0,0,26,0,13,13
2232,8388.5,0,0,24,0,12,12
2233,7976.866666666666,0,0,18,0,9,9
2234,8022.333333333333,0,0,14,0,7,7
2235,9950.466666666665,0,0,14,0,7,7
2236,8448.133333333331,0,0,14,0,7,7
2237,8134.716666666666,0,0,14,0,7,7
2238,9303.85,171.7833333333333,0,14,0,7,7
2239,11694.599999999999,2605.0166666666664,0,14,0,7,7
2240,14549.416666666664,7599.366666666668,0,15,0,8,7
2241,9985.6,13458.266666666666,0.042,20,9,20,0
2242,9946.766666666665,19414.000000000004,0.04,24,10,24,0
2243,9087.383333333331,23365.35,0.049,24,9,24,0
2244,11668.533333333331,25328.18333333333,0.044,24,9,24,0
2245,12295.199999999999,25779.300000000003,0.002,25,10,25,0
2246,14543.083333333334,24802.016666666666,0.055,26,11,26,0
2247,18588.8,21287.183333333334,0.004,27,12,27,0
2248,22906.183333333334,15134.983333333334,0.012,26,12,26,0
2249,23686.266666666666,7796.8166666666675,0.063,22,7,18,4
2250,21374.316666666666,1122.6666666666665,0,14,0,7,7
2251,21875.766666666663,0,0,24,0,12,12
2252,24315.5,0,0,24,0,12,12
2253,19873.03333333333,0,0,26,0,13,13
2254,14655.199999999997,0,0,24,0,12,12
2255,11090.75,0,0,28,0,14,14
2256,9003.133333333331,0,0,24,0,12,12
2257,8327.133333333333,0,0,18,0,9,9
2258,8319.783333333333,0,0,14,0,7,7
2259,8083.083333333332,0,0,16,0,8,8
2260,8106.383333333333,0,0,14,0,7,7
2261,10290.716666666664,0,0,16,0,8,8
2262,12663.383333333333,173.99999999999997,0,14,0,7,7
2263,15669.116666666665,2471.3333333333335,0,14,0,7,7
2264,13537.933333333332,7621.033333333333,0,14,0,7,7
2265,9560.016666666665,13571.983333333334,0.043,19,9,19,0
2266,12807.516666666668,19818.2,0.042,23,10,23,0
2267,14591.016666666666,23972.416666666664,0.054,26,11,26,0
2268,13066.6,25824.53333333333,0.054,23,9,23,0
2269,11310.033333333333,25828.783333333333,0.037,23,9,23,0
2270,12165.583333333332,24404.56666666667,0.036,25,10,25,0
2271,12741.55,20856.766666666666,0.044,25,10,25,0
2272,14619.249999999998,14690.516666666666,0.023,26,12,26,0
2273,23601.033333333333,7556.7666666666655,0.045,21,10,21,0
2274,27046.116666666658,1101.6666666666665,0,18,0,9,9
2275,28740.583333333332,0,0,24,0,12,12
2276,26175.35,0,0,24,0,12,12
2277,26569.483333333334,4.266666666666666,0,26,0,13,13
2278,16057.68333333333,0.8833333333333332,0,24,0,12,12
2279,11054.533333333335,0,0,28,0,14,14
2280,9806.766666666668,0,0,24,0,12,12
2281,9745.833333333334,0,0,22,0,11,11
2282,10720.016666666666,0,0,14,0,7,7
2283,12104.199999999999,0,0,16,0,8,8
2284,10577.8,0,0,14,0,7,7
2285,12878.999999999998,0,0,14,0,7,7
2286,15685.666666666666,190.73333333333332,0,14,0,7,7
2287,11415.566666666668,2536.283333333333,0,14,0,7,7
2288,11161.799999999997,7597.900000000001,0.055,18,7,16,2
2289,9634.366666666665,13342.133333333331,0.044,17,8,17,0
2290,9963.75,19684.1,0.052,24,10,24,0
2291,12388.9,23962.78333333333,0.038,25,10,25,0
2292,13313.533333333333,25924.533333333333,0.053,25,10,25,0
2293,13114.033333333331,26279.583333333336,0.053,25,10,25,0
2294,13472.866666666667,24859.9,0.037,25,10,25,0
2295,16543.516666666666,19789.23333333333,0.05,28,13,28,0
2296,19789.38333333333,14262.3,0.051,28,13,27,1
2297,19931.666666666664,7612.9,0.056,20,7,17,3
2298,20823.583333333336,1105.2666666666664,0,17,0,9,8
2299,23917.066666666666,0,0,28,0,14,14
2300,19680.399999999998,1.1166666666666667,0,24,0,12,12
2301,21419.649999999994,0.7,0,30,0,15,15
2302,18532.76666666667,0,0,26,0,13,13
2303,15272.116666666665,0,0,28,0,14,14
2304,11588.649999999998,0,0,26,0,13,13
2305,9219.516666666666,0,0,16,0,8,8
2306,8684.050000000001,0,0,16,0,8,8
2307,11517.849999999999,0,0,16,0,8,8
2308,8930.366666666665,0,0,14,0,7,7
2309,11291.016666666665,0,0,16,0,8,8
2310,13857.900000000001,18.05,0,14,0,7,7
2311,14014.283333333335,534.4333333333333,0,14,0,7,7
2312,9717.416666666664,2336.116666666666,0,14,0,7,7
2313,9062.35,12149,0,14,0,7,7
2314,10380.05,18585.649999999998,0.056,23,10,23,0
2315,11278.883333333333,20695.916666666664,0.038,24,10,24,0
2316,13515.266666666668,22463.050000000003,0.056,25,10,25,0
2317,14925.783333333331,25117.683333333334,0.045,25,10,25,0
2318,13917.416666666664,24425.516666666666,0.004,25,10,25,0
2319,13587.366666666665,20169.966666666667,0.049,26,11,26,0
2320,18199.433333333334,14802.88333333333,0.013,27,13,27,0
2321,23762.03333333333,7289.966666666665,0.066,26,9,22,4
2322,26057.800000000003,1220.9666666666667,0,18,0,9,9
2323,25058.41666666666,0,0,20,0,10,10
2324,23091.7,1.55,0,24,0,12,12
2325,19459.149999999998,0,0,30,0,15,15
2326,13410.116666666667,0,0,26,0,13,13
2327,10224.133333333333,0,0,28,0,14,14
2328,9845.75,0,0,26,0,13,13
2329,8285.6,0,0,20,0,10,10
2330,7685.733333333334,0,0,16,0,8,8
2331,10308.816666666666,0,0,14,0,7,7
2332,8759.6,0,0,14,0,7,7
2333,9061.25,0,0,14,0,7,7
2334,11787.416666666664,292.3666666666666,0,14,0,7,7
2335,11546.9,3742.866666666667,0,14,0,7,7
2336,11305.05,7162.766666666666,0,14,0,7,7
2337,11639.166666666666,12580.966666666667,0.062,18,8,17,1
2338,11843.783333333336,19493.916666666664,0.041,24,10,24,0
2339,10528.15,22854.216666666667,0.041,25,10,25,0
2340,11595.3,25708.85,0.036,24,9,24,0
2341,13048.983333333332,21176.083333333336,0.052,26,11,26,0
2342,16525.183333333334,20792.233333333334,0.006,24,10,24,0
2343,14558.349999999999,17399.133333333335,0.014,29,14,29,0
2344,18503.38333333333,14095.2,0.045,25,12,25,0
2345,19988.09999999999,5937.466666666666,0.072,20,6,16,4
2346,22062.750000000004,1085.7333333333331,0,16,0,8,8
2347,23889.999999999996,0,0,20,0,10,10
2348,25937.933333333338,0.5166666666666666,0,28,0,14,14
2349,23765.466666666667,0.95,0,24,0,12,12
2350,17711.366666666665,0,0,28,0,14,14
2351,12013.866666666667,0,0,26,0,13,13
2352,10309.666666666664,0,0,28,0,14,14
2353,9083.449999999999,0,0,14,0,7,7
2354,9118.05,0,0,16,0,8,8
2355,10122.516666666666,0,0,16,0,8,8
2356,8991.25,0,0,16,0,8,8
2357,9997.349999999999,0,0,14,0,7,7
2358,12739.416666666664,244.9666666666666,0,16,0,8,8
2359,15178.08333333333,3235.2166666666667,0,14,0,7,7
2360,11234.033333333331,9242.45,0,14,0,7,7
2361,10757.2,13116.366666666669,0.048,22,10,21,1
2362,11513.5,16672.316666666666,0.04,25,11,25,0
2363,12277.48333333333,23500.966666666667,0.047,25,10,25,0
2364,19705.95,18507.333333333336,0.057,27,13,27,0
2365,14458.583333333334,20323.55,0.038,25,11,25,0
2366,17251.1,15732.7,0.052,30,14,29,1
2367,17746.966666666667,13766.416666666668,0.059,27,13,27,0
2368,23898.05,10443.716666666665,0.053,24,10,22,2
2369,20360.15,7411.333333333332,0.073,26,8,21,5
2370,26349.36666666667,1226.9333333333332,0,19,0,10,9
2371,23045.65,0,0,22,0,11,11
2372,21230.01666666667,0,0,26,0,13,13
2373,19830.350000000002,2.183333333333333,0,26,0,13,13
2374,18154.033333333333,0,0,28,0,14,14
2375,14363.5,0,0,28,0,14,14
2376,10479.133333333333,0,0,28,0,14,14
2377,8585.966666666667,0,0,28,0,14,14
2378,7865.633333333333,0,0,20,0,10,10
2379,10658.716666666665,0,0,18,0,9,9
2380,9004.566666666666,0,0,16,0,8,8
2381,8676.916666666664,0,0,16,0,8,8
2382,9185.066666666666,232.2833333333333,0,16,0,8,8
2383,12355.300000000003,1739.7999999999997,0,14,0,7,7
2384,14468.433333333334,2890.15,0,14,0,7,7
2385,12318.783333333333,7931.283333333334,0,16,0,8,8
2386,15939.883333333331,13176.983333333334,0.06,26,12,25,1
2387,16982.666666666668,8881.3,0.062,28,11,25,3
2388,11793.266666666666,6502.483333333332,0.051,26,10,23,3
2389,12344.466666666667,10603.716666666665,0.055,28,13,27,1
2390,14037.83333333333,21478.833333333332,0.044,26,11,26,0
2391,15326.783333333333,19197.166666666668,0.046,25,11,25,0
2392,15293.833333333332,8215.066666666668,0.08,28,11,25,3
2393,20855.86666666666,6308.883333333332,0.068,24,7,19,5
2394,18542.166666666668,979.4666666666666,0,18,0,9,9
2395,18846.066666666666,0,0,22,0,11,11
2396,20119.433333333334,0,0,26,0,13,13
2397,19648.216666666667,0,0,28,0,14,14
2398,18150.100000000002,0,0,26,0,13,13
2399,13456.333333333332,0,0,26,0,13,13
2400,11431.716666666665,0,0,28,0,14,14
2401,10170.1,0,0,26,0,13,13
2402,10345.366666666665,0,0,30,0,15,15
2403,10492.783333333333,0,0,22,0,11,11
2404,10095.983333333332,0,0,20,0,10,10
2405,9999.749999999998,0,0,22,0,11,11
2406,9960.583333333332,28.949999999999996,0,22,0,11,11
2407,13073.233333333334,1205.4499999999998,0,22,0,11,11
2408,16179.35,2204.6666666666665,0,24,0,12,12
2409,16707.916666666664,3476.2,0,17,0,9,8
2410,20746.766666666666,11382.866666666665,0,19,0,10,9
2411,14951.033333333335,7052.2,0.062,22,7,18,4
2412,22503.45,10237.866666666667,0.065,30,9,24,6
2413,16368.833333333328,14273.883333333333,0.065,24,11,23,1
2414,22648.566666666662,8671.633333333333,0.069,22,7,18,4
2415,20633.76666666667,3971.983333333333,0.072,26,4,17,9
2416,19141.183333333334,3081.083333333333,0,19,0,10,9
2417,28199.316666666662,1917.9833333333331,0,19,0,10,9
2418,26236.233333333334,131.1,0,22,0,11,11
2419,23479.783333333333,0,0,22,0,11,11
2420,25259.683333333334,0.8333333333333333,0,24,0,12,12
2421,22587.483333333337,0,0,28,0,14,14
2422,16496.366666666665,0,0,28,0,14,14
2423,13178.816666666666,0,0,24,0,12,12
2424,12010.85,0,0,28,0,14,14
2425,11113.016666666665,0,0,26,0,13,13
2426,11127.166666666664,0,0,26,0,13,13
2427,10821.783333333335,0,0,18,0,9,9
2428,11983.133333333333,0,0,18,0,9,9
2429,11739.133333333333,0,0,18,0,9,9
2430,13993.116666666663,72.93333333333334,0,14,0,7,7
2431,12305.033333333331,1000.583333333333,0,18,0,9,9
2432,10941.733333333332,752.7333333333331,0,16,0,8,8
2433,10477.666666666666,2107.6499999999996,0,18,0,9,9
2434,11162.300000000001,13417.033333333333,0,16,0,8,8
2435,12245.283333333333,17156.883333333335,0.046,25,11,25,0
2436,14002.066666666664,24573,0.053,24,10,24,0
2437,18183.65,24506.216666666667,0.049,25,11,25,0
2438,21649.33333333333,23041.466666666667,0.055,26,12,26,0
2439,25290.716666666667,19631.783333333333,0.054,26,12,25,1
2440,32494.416666666668,10903.333333333332,0.064,24,7,19,5
2441,34991.216666666674,6369.35,0.068,22,2,13,9
2442,32955.44999999999,1108.0666666666666,0,24,0,12,12
2443,30443.6,0,0,24,0,12,12
2444,27437.28333333333,0.85,0,28,0,14,14
2445,30695.050000000003,0,0,24,0,12,12
2446,25208.566666666666,0,0,28,0,14,14
2447,18955.683333333334,0,0,26,0,13,13
2448,15929,0,0,26,0,13,13
2449,14058.116666666665,0,0,28,0,14,14
2450,11778.516666666666,0,0,28,0,14,14
2451,13820.316666666668,0,0,26,0,13,13
2452,10852.966666666667,0,0,22,0,11,11
2453,12287.583333333334,0,0,26,0,13,13
2454,14066.7,55.51666666666666,0,18,0,9,9
2455,9959.08333333333,1716.0999999999997,0,24,0,12,12
2456,11091.18333333333,1581.1999999999998,0,22,0,11,11
2457,12625.51666666667,4109.983333333333,0,19,0,10,9
2458,11101.9,3211.366666666666,0.068,22,4,15,7
2459,10135.93333333333,2194.45,0.077,30,2,17,13
2460,9324.900000000001,7116.783333333333,0.053,18,6,15,3
2461,9851.533333333333,5437.416666666666,0.067,18,5,14,4
2462,14342.133333333335,7718.916666666666,0.072,24,6,18,6
2463,15127.516666666666,4430.683333333333,0.074,22,4,15,7
